case_id	target_type	status	token_hex	expected_kind	expected_negative_zero	expected_status	expected_reason	expected_value	expected_bits_hex
u64_negative_overflow_magnitude	UINT64	CONFORMANCE	2D3138343436373434303733373039353531363136	SIGNED_INTEGER	false	OUT_OF_RANGE	NEGATIVE_TOKEN_FOR_UNSIGNED	-	-
u64_fraction	UINT64	CONFORMANCE	312E30	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_negative_fraction	UINT64	CONFORMANCE	2D302E30	REAL	true	NOT_INTEGER	NOT_INTEGER	-	-
u64_exponent	UINT64	CONFORMANCE	316530	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_large_exponent	UINT64	CONFORMANCE	3165393939	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_underflow_exponent	UINT64	CONFORMANCE	31652D34303030	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_upper_exponent	UINT64	CONFORMANCE	31452B30	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_padded_exponent	UINT64	CONFORMANCE	31452B303037	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_fraction_exponent	UINT64	CONFORMANCE	312E3235652D33	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
u64_leading_plus	UINT64	CONFORMANCE	2B31	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_leading_zero	UINT64	CONFORMANCE	3031	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_negative_leading_zero	UINT64	CONFORMANCE	2D3031	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_trailing_point	UINT64	CONFORMANCE	312E	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_leading_point	UINT64	CONFORMANCE	2E31	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_incomplete_exponent	UINT64	CONFORMANCE	3165	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_incomplete_exponent_plus	UINT64	CONFORMANCE	31652B	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_incomplete_exponent_minus	UINT64	CONFORMANCE	31652D	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_hex	UINT64	CONFORMANCE	30783130	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_underscore	UINT64	CONFORMANCE	315F303030	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_nan	UINT64	CONFORMANCE	4E614E	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_infinity	UINT64	CONFORMANCE	496E66696E697479	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_negative_infinity	UINT64	CONFORMANCE	2D496E66696E697479	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_fullwidth_digit	UINT64	CONFORMANCE	EFBC91	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_internal_space	UINT64	CONFORMANCE	31206530	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_leading_space	UINT64	CONFORMANCE	2031	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_trailing_space	UINT64	CONFORMANCE	3120	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
u64_embedded_nul	UINT64	CONFORMANCE	3100	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
i64_zero	INT64	CONFORMANCE	30	UNSIGNED_INTEGER	false	OK	NONE	0	-
i64_negative_zero	INT64	CONFORMANCE	2D30	SIGNED_INTEGER	true	OK	NONE	0	-
i64_one	INT64	CONFORMANCE	31	UNSIGNED_INTEGER	false	OK	NONE	1	-
i64_negative_one	INT64	CONFORMANCE	2D31	SIGNED_INTEGER	false	OK	NONE	-1	-
i64_max_minus_one	INT64	CONFORMANCE	39323233333732303336383534373735383036	UNSIGNED_INTEGER	false	OK	NONE	9223372036854775806	-
i64_max	INT64	CONFORMANCE	39323233333732303336383534373735383037	UNSIGNED_INTEGER	false	OK	NONE	9223372036854775807	-
i64_min_plus_one	INT64	CONFORMANCE	2D39323233333732303336383534373735383037	SIGNED_INTEGER	false	OK	NONE	-9223372036854775807	-
i64_min	INT64	CONFORMANCE	2D39323233333732303336383534373735383038	SIGNED_INTEGER	false	OK	NONE	-9223372036854775808	-
i64_overflow_one	INT64	CONFORMANCE	39323233333732303336383534373735383038	UNSIGNED_INTEGER	false	OUT_OF_RANGE	INTEGER_OUT_OF_RANGE	-	-
i64_underflow_one	INT64	CONFORMANCE	2D39323233333732303336383534373735383039	SIGNED_INTEGER	false	OUT_OF_RANGE	INTEGER_OUT_OF_RANGE	-	-
i64_uint64_max	INT64	CONFORMANCE	3138343436373434303733373039353531363135	UNSIGNED_INTEGER	false	OUT_OF_RANGE	INTEGER_OUT_OF_RANGE	-	-
i64_fraction	INT64	CONFORMANCE	2D312E30	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
i64_exponent	INT64	CONFORMANCE	2D316530	REAL	false	NOT_INTEGER	NOT_INTEGER	-	-
i64_double_minus	INT64	CONFORMANCE	2D2D31	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
i64_minus_only	INT64	CONFORMANCE	2D	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
real_empty	REAL64	CONFORMANCE	-	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
real_leading_plus	REAL64	CONFORMANCE	2B31	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
real_nan	REAL64	CONFORMANCE	4E614E	INVALID	false	INVALID_TOKEN	INVALID_TOKEN	-	-
real_zero_integer	REAL64	CONFORMANCE	30	UNSIGNED_INTEGER	false	OK	NONE	-	0000000000000000
real_negative_zero_fraction	REAL64	CONFORMANCE	2D302E30	REAL	true	OK	NONE	-	0000000000000000
real_zero_huge_positive_exponent	REAL64	CONFORMANCE	3065393939	REAL	false	OK	NONE	-	0000000000000000
real_zero_huge_negative_exponent	REAL64	CONFORMANCE	30652D34303030	REAL	false	OK	NONE	-	0000000000000000
real_one_integer	REAL64	CONFORMANCE	31	UNSIGNED_INTEGER	false	OK	NONE	-	3FF0000000000000
real_tie_even_down	REAL64	CONFORMANCE	312E3030303030303030303030303030303131313032323330323436323531353635343034323336333136363830393038323033313235	REAL	false	OK	NONE	-	3FF0000000000000
real_tie_even_up	REAL64	CONFORMANCE	312E3030303030303030303030303030303333333036363930373338373534363936323132373038393530303432373234363039333735	REAL	false	OK	NONE	-	3FF0000000000002
real_max_finite	REAL64	CONFORMANCE	312E3739373639333133343836323331353765333038	REAL	false	OK	NONE	-	7FEFFFFFFFFFFFFF
real_max_rounds_finite	REAL64	CONFORMANCE	312E3739373639333133343836323331353865333038	REAL	false	OK	NONE	-	7FEFFFFFFFFFFFFF
real_overflow_boundary	REAL64	CONFORMANCE	312E3739373639333133343836323331353965333038	REAL	false	OVERFLOW	OVERFLOW	-	-
real_huge_overflow	REAL64	CONFORMANCE	3165393939	REAL	false	OVERFLOW	OVERFLOW	-	-
real_min_normal	REAL64	CONFORMANCE	322E32323530373338353835303732303134652D333038	REAL	false	OK	NONE	-	0010000000000000
real_largest_subnormal	REAL64	CONFORMANCE	322E323235303733383538353037323031652D333038	REAL	false	OK	NONE	-	000FFFFFFFFFFFFF
real_min_subnormal	REAL64	CONFORMANCE	342E39343036353634353834313234363534652D333234	REAL	false	OK	NONE	-	0000000000000001
real_short_min_subnormal	REAL64	CONFORMANCE	35652D333234	REAL	false	OK	NONE	-	0000000000000001
real_below_half_min_subnormal	REAL64	CONFORMANCE	322E34373033323832323932303632333237652D333234	REAL	false	UNDERFLOW	UNDERFLOW	-	-
real_above_half_min_subnormal	REAL64	CONFORMANCE	322E34373033323832323932303632333238652D333234	REAL	false	OK	NONE	-	0000000000000001
real_huge_underflow	REAL64	CONFORMANCE	31652D34303030	REAL	false	UNDERFLOW	UNDERFLOW	-	-
